Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Australi,2020,27.91500691,17.06002485,16.91200037,4.615120517,4.615120517,14.19757636,1.2962853700000014,0.2232045170000001,1.9811313599999991,2.568111598016205,0.4421974683223531,0.28933674990501673,0.5732141088373054
Australi,2021,28.07361229,17.0614338,16.91481141,4.615120517,4.615120517,14.22427115,1.2990964099999989,0.2232045170000001,2.0078261499999996,2.608359743369119,0.44815586603071966,0.28996418673048385,0.5821976766809484
Australi,2022,28.15625735,17.07416079,16.92899627,4.615120517,4.615120517,14.21056735,1.3132812699999992,0.2232045170000001,1.9941223499999996,2.6188435323433823,0.44509711597065504,0.2931303115554965,0.5845377057352787
Australi,2023,28.17801896,17.09863545,16.95496137,4.615120517,4.615120517,14.34341518,1.3392463699999997,0.2232045170000001,2.126970179999999,2.8485370926632445,0.474749351700303,0.2989258391598534,0.635806345924484
Austria,2019,26.81679868,15.99930322,15.46341621,4.615120517,4.615120517,12.89543674,-0.15229878999999968,0.2232045170000001,0.678991739999999,-0.10340962042199422,0.15155402337368942,-0.03399377786163438,-0.02308149437944457
Austria,2020,26.79722608,16.00345499,15.47154194,4.615120517,4.615120517,12.89049886,-0.14417305999999996,0.2232045170000001,0.674053859999999,-0.09718040760101143,0.15045186625328547,-0.032180078221712025,-0.021691105940446893
Austria,2021,26.89802446,16.0078117,15.4800942,4.615120517,4.615120517,13.01396638,-0.13562079999999987,0.2232045170000001,0.7975213799999992,-0.10816048757270379,0.17801037442007336,-0.030271175159153587,-0.024141909387149864
Austria,2022,26.87976511,16.01737458,15.49407147,4.615120517,4.615120517,12.94854445,-0.12164353000000006,0.2232045170000001,0.7320994499999998,-0.08905516140905852,0.16340790413321568,-0.027151385359825034,-0.019877514288665955
Austria,2023,26.96097544,16.02726922,15.50857944,4.615120517,4.615120517,12.95601824,-0.10713555999999969,0.2232045170000001,0.7395732400000004,-0.07923459322841421,0.16507608782032523,-0.02391314092332446,-0.01768551911123967
Azerbaij,2019,24.59809018,16.12052111,15.54125611,4.615120517,4.615120517,12.52450058,-0.07445888999999895,0.2232045170000001,0.30805557999999955,-0.02293747654510584,0.06875939694305479,-0.0166195605788059,-0.00511974837344918
Azerbaij,2020,24.47730081,16.12736476,15.55461054,4.615120517,4.615120517,12.52104293,-0.06110445999999925,0.2232045170000001,0.3045979299999999,-0.018612292029767566,0.06798763384484982,-0.01363879148084566,-0.004154347652767221
Azerbaij,2021,24.72741964,16.13177674,15.56572034,4.615120517,4.615120517,12.58215175,-0.04999465999999941,0.2232045170000001,0.3657067499999993,-0.01828338462595475,0.08162739849738963,-0.011159033937879094,-0.0040809340345614575
Azerbaij,2022,25.09027363,16.13217182,15.573031,4.615120517,4.615120517,12.67074814,-0.0426839999999995,0.2232045170000001,0.4543031400000004,-0.01939147522775979,0.10140251293528352,-0.009527261603627893,-0.004328264862129591
Azerbaij,2023,25.00486666,16.13337424,15.58132724,4.615120517,4.615120517,12.79672023,-0.034387759999999545,0.2232045170000001,0.5802752299999998,-0.01995436534318453,0.12952005243921394,-0.007675503361511822,-0.0044539044784670445
The Baha,2019,23.28946057,12.88582045,12.70107981,4.615120517,4.615120517,9.106195588,-2.9146351900000003,0.2232045170000001,-3.110249412,9.06524238589201,-0.6942217177549943,-0.6505597398151536,2.0234030482309544
The Baha,2020,23.02166217,12.888826,12.70544392,4.615120517,4.615120517,8.989225219,-2.9102710799999993,0.2232045170000001,-3.2272197810000005,9.392084397448233,-0.7203300324709512,-0.6495856507504685,2.0963556615556698
The Baha,2021,23.15414739,12.89011349,12.7081713,4.615120517,4.615120517,9.192435425,-2.9075436999999997,0.2232045170000001,-3.024009575000001,8.79243998853093,-0.6749725965912508,-0.6489768872148931,1.9625123208915325
The Baha,2022,23.29865284,12.89304832,12.71262817,4.615120517,4.615120517,9.244655367,-2.9030868299999995,0.2232045170000001,-2.971789633,8.627363345092832,-0.6633168696593726,-0.6479820936992113,1.925666468424951
The Baha,2023,23.38621406,12.89782135,12.71899507,4.615120517,4.615120517,9.299156768,-2.8967199299999997,0.2232045170000001,-2.9172882320000006,8.450566963188864,-0.6511519107733443,-0.6465609728599241,1.8862047173947283
Banglade,2019,26.58471183,18.92092896,17.93756317,4.534747722,4.593097605,12.51619518,2.321848170000001,0.1428317219999995,0.2997501800000002,0.6959744068901713,0.04281383437920984,0.3316335723436477,0.09940722300405148
